Timestamp (ms),Accel X,Accel Y,Accel Z
562097,0.38,0.15,-0.92
562118,0.51,0.13,-0.91
562139,0.6,0.08,-0.89
562160,0.29,0.13,-0.9
562181,0.48,0.18,-0.89
562202,0.78,0.1,-0.88
562223,0.67,0.03,-0.89
562244,0.29,0.1,-0.9
562265,0.56,0.17,-0.86
562286,0.62,0.12,-0.85
562307,0.38,0.07,-0.88
562328,0.21,0.14,-0.89
562349,0.5,0.17,-0.88
562370,0.79,0.09,-0.88
562391,0.82,0.03,-0.89
562412,0.52,0.04,-0.9
562433,0.43,0.13,-0.88
562454,0.53,0.17,-0.84
562475,0.56,0.11,-0.84
562496,0.58,0.08,-0.89
562517,0.36,0.06,-0.9
562538,0.29,0.15,-0.88
562559,0.66,0.15,-0.83
